cas,chemical_name,wave,original_selection_status,selection_source,true_cameo_groups,sole_group_of,section10_categories,section10_has_real_evidence,signature_peer_count,signature_rank,unique_risk_pair_types,safety_flag,in_eval_testset_FYI_NOT_USED_IN_DECISION,recommendation,reason
7778-66-7,POTASSIUM HYPOCHLORITE SOLUTION,wave2,DUPLICATE,wave2_expansion,50;61;68,,combustible_reducing;metal;water,True,2,rank_1_of_3,0,NOT_CHECKED,False,KEEP_EMPIRICAL,"동일 true_groups=(50, 61, 68) 물질 3종 중 §10 근거 최상위(자기 근거 ['combustible_reducing', 'metal', 'water'])"
7778-74-7,POTASSIUM PERCHLORATE,wave2,DUPLICATE,wave2_expansion,50,,no_data,False,29,rank_29_of_30,0,NOT_CHECKED,False,REMOVE_CANDIDATE,"동일 true_groups=(50,) 물질 30종 중 29순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
7783-00-8,SELENIOUS ACID,wave2,REVIEW,wave2_expansion,5;50,,combustible_reducing;metal;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,False,KEEP_EMPIRICAL,"true_groups 조합 (5, 50)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'metal', 'water'])"
7783-56-4,ANTIMONY TRIFLUORIDE,wave2,REVIEW,wave2_expansion,3;29;50,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,False,REVIEW,"true_groups 조합 (3, 29, 50)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
7783-66-6,IODINE PENTAFLUORIDE,wave2,DUPLICATE,wave2_expansion,32;50,,combustible_reducing;metal;water,True,3,rank_2_of_4,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(32, 50) 물질 4종 중 2순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
7787-36-2,BARIUM PERMANGANATE,wave2,DUPLICATE,wave2_expansion,50,,combustible_reducing;water,True,29,rank_20_of_30,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50,) 물질 30종 중 20순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
7789-00-6,POTASSIUM CHROMATE,wave2,DUPLICATE,wave2_expansion,50;61,,no_data,False,15,rank_16_of_16,0,NOT_CHECKED,False,REMOVE_CANDIDATE,"동일 true_groups=(50, 61) 물질 16종 중 16순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
7789-06-2,STRONTIUM CHROMATE,wave2,DUPLICATE,wave2_expansion,50;61,,combustible_reducing;water,True,15,rank_11_of_16,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50, 61) 물질 16종 중 11순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
7789-09-5,AMMONIUM DICHROMATE,wave2,DUPLICATE,wave2_expansion,50;60,,combustible_reducing;water,True,4,rank_3_of_5,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50, 60) 물질 5종 중 3순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
7789-38-0,SODIUM BROMATE,wave2,DUPLICATE,wave2_expansion,50,,combustible_reducing;water,True,29,rank_21_of_30,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50,) 물질 30종 중 21순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
