cas_number,chemical_name,expected_group,pubchem_cid,pubchem_groups,status
10222-01-2,"2,2-DIBROMO-3-NITRILOPROPIONAMIDE",Halogenated Organic Compounds,25059,Amides and Imides;Halogenated Organic Compounds;Nitriles,MATCH
1024-57-3,HEPTACHLOR EPOXIDE,Halogenated Organic Compounds,15559699,"Epoxides;Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated",MATCH
10311-84-9,DIALIFOR,Halogenated Organic Compounds,25146,"Amides and Imides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Halogenated Organic Compounds",MATCH
107-04-0,1-브로모-2-클로로에탄,Halogenated Organic Compounds,7849,Halogenated Organic Compounds,MATCH
107-81-3,2-브로모펜테인,Halogenated Organic Compounds,7890,Halogenated Organic Compounds,MATCH
105-48-6,ISOPROPYL CHLOROACETATE,Halogenated Organic Compounds,7759,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Halogenated Organic Compounds",MATCH
10241-05-1,MOLYBDENUM PENTACHLORIDE,Halogenating Agents,61497,Halogenating Agents,MATCH
118-52-5,"1,3-DICHLORO-5,5-DIMETHYLHYDANTOIN",Halogenating Agents,8360,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Halogenating Agents;Oxidizing Agents, Strong",MATCH
110-54-3,HEXANE,"Hydrocarbons, Aliphatic Saturated",8058,"Hydrocarbons, Aliphatic Saturated",MATCH
112-95-8,N-EICOSANE,"Hydrocarbons, Aliphatic Saturated",8222,"Hydrocarbons, Aliphatic Saturated",MATCH
12002-43-6,GILSONITE,"Hydrocarbons, Aliphatic Saturated",,,ERROR
123-01-3,DODECYLBENZENE,"Hydrocarbons, Aliphatic Saturated",31237,"Hydrocarbons, Aliphatic Saturated;Hydrocarbons, Aromatic",MATCH
1333-86-4,CARBON BLACK,"Hydrocarbons, Aliphatic Saturated",5462310,"Hydrocarbons, Aliphatic Saturated;Reducing Agents, Weak",MATCH
1338-02-9,COPPER NAPHTHENATE,"Hydrocarbons, Aliphatic Saturated",,,ERROR
