cas_number,chemical_name,expected_group,pubchem_cid,pubchem_groups,status
72-20-8,ENDRIN,"Epoxides;Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated",12358480,"Epoxides;Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated",MATCH
72-43-5,METHOXYCHLOR,Ethers;Halogenated Organic Compounds,4115,Ethers;Halogenated Organic Compounds,MATCH
72-54-8,DICHLORODIPHENYLDICHLOROETHANE,Aryl Halides;Halogenated Organic Compounds,6294,Aryl Halides;Halogenated Organic Compounds,MATCH
72-55-9,"P,P&#39;-DDE","Aryl Halides;Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated",3035,"Aryl Halides;Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated",MATCH
72-56-0,"P,P&#39;-ETHYL DDD",Halogenated Organic Compounds,6295,Halogenated Organic Compounds,MATCH
72-57-1,TRYPAN BLUE,"Amines, Aromatic;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Phenols and Cresols",6296,"Amines, Aromatic;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Phenols and Cresols",MATCH
7206-76-0,2-PHENYL-2-ETHYLMALONDIAMIDE,Amides and Imides,23611,Amides and Imides,MATCH
7209-38-3,BIS (AMINOPROPYL) PIPERAZINE,"Amines, Phosphines, and Pyridines",81629,"Amines, Phosphines, and Pyridines",MATCH
72178-02-0,FOMESAFEN,"Amides and Imides;Aryl Halides;Fluorinated Organic Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",51556,"Amides and Imides;Aryl Halides;Fluorinated Organic Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
7220-79-3,METHYLENE BLUE TRIHYDRATE,"Amines, Phosphines, and Pyridines;Hydrocarbons, Aromatic;Quaternary Ammonium and Phosphonium Salts;Sulfides, Organic",104827,"Amines, Phosphines, and Pyridines;Hydrocarbons, Aromatic;Quaternary Ammonium and Phosphonium Salts;Sulfides, Organic",MATCH
7227-91-0,"1-PHENYL-3,3-DIMETHYLTRIAZENE","Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Hydrocarbons, Aromatic",23654,"Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Hydrocarbons, Aromatic",MATCH
72276-00-7,"TRICHLOROBENZENE, POLYMER WITH 1,4-DICHLOROBENZENE AND SODIUM SULFIDE","Aryl Halides;Sulfides, Inorganic",,,ERROR
