CAS_Number,Chemical_Name,Reactive_Group_IDs,Reactive_Groups
108-80-5,CYANURIC ACID,12,Amides and Imides
108-82-7,DIISOBUTYLCARBINOL,8,Alcohols and Polyols
108-95-2,"PHENOL SOLUTION, [AQUEOUS]",5;55;68,"Acids, Weak;Phenols and Cresols;Water and Aqueous Solutions"
108171-26-2,CHLOROWAX 500C,31,Halogenated Organic Compounds
109-09-1,2-CHLOROPYRIDINE,14;16,"Amines, Phosphines, and Pyridines;Aryl Halides"
109-13-7,"TERT-BUTYL PEROXYISOBUTYRATE, [&gt; 52% BUT &lt;= 77% IN BENZENE SOLUTION]",53,"Peroxides, Organic"
109-27-3,TETRAZENE,17,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds"
109-52-4,PENTANOIC ACID,2,"Acids, Carboxylic"
109-53-5,VINYL ISOBUTYL ETHER,28;34;56,"Ethers;Hydrocarbons, Aliphatic Unsaturated;Polymerizable Compounds"
109-56-8,ISOPROPYLAMINOETHANOL,8;14,"Alcohols and Polyols;Amines, Phosphines, and Pyridines"
109-57-9,ALLYLTHIOUREA,12;34,"Amides and Imides;Hydrocarbons, Aliphatic Unsaturated"
109-59-1,ETHYLENE GLYCOL ISOPROPYL ETHER,8;28,Alcohols and Polyols;Ethers
109-70-6,1-BROMO-3-CHLOROPROPANE,31,Halogenated Organic Compounds
109-78-4,ETHYLENE CYANOHYDRIN,8;45,Alcohols and Polyols;Nitriles
109-80-8,"1,3-DIMERCAPTOPROPANE",64,"Sulfides, Organic"
110-13-4,"2,5-HEXANEDIONE",38,Ketones
110-15-6,SUCCINIC ACID,2,"Acids, Carboxylic"
110-16-7,MALEIC ACID,2;23;34,"Acids, Carboxylic;Conjugated Dienes;Hydrocarbons, Aliphatic Unsaturated"
110-17-8,FUMARIC ACID,2;34,"Acids, Carboxylic;Hydrocarbons, Aliphatic Unsaturated"
110-21-4,BIUREA,12;14,"Amides and Imides;Amines, Phosphines, and Pyridines"
110-22-5,"ACETYL PEROXIDE SOLUTION, [&lt;= 25% PEROXIDE]",53;68,"Peroxides, Organic;Water and Aqueous Solutions"
110-26-9,"N,N&#39;-METHYLENEBISACRYLAMIDE",12;34,"Amides and Imides;Hydrocarbons, Aliphatic Unsaturated"
110-33-8,DI-N-HEXYL ADIPATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
110-44-1,SORBIC ACID,2;23;34,"Acids, Carboxylic;Conjugated Dienes;Hydrocarbons, Aliphatic Unsaturated"
110-61-2,SUCCINONITRILE,45,Nitriles
110-63-4,"1,4-BUTANEDIOL",8,Alcohols and Polyols
110-69-0,BUTYRALDOXIME,52,Oximes
110-73-6,"ETHYLAMINOETHANOL, [COMBUSTIBLE LIQUID LABEL]",8;14,"Alcohols and Polyols;Amines, Phosphines, and Pyridines"
110-75-8,2-CHLOROETHYL VINYL ETHER,28;31;34;56,"Ethers;Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated;Polymerizable Compounds"
110-78-1,N-PROPYL ISOCYANATE,37,Isocyanates and Isothiocyanates
110-85-0,"N,N-DIETHYLETHYLENEDIAMINE",14,"Amines, Phosphines, and Pyridines"
110-88-3,"1,3,5-TRIOXANE",28,Ethers
110-94-1,GLUTARIC ACID,2,"Acids, Carboxylic"
110-97-4,DIISOPROPANOLAMINE,8;14,"Alcohols and Polyols;Amines, Phosphines, and Pyridines"
11024-24-1,DIGITONIN,8,Alcohols and Polyols
11041-12-6,CHOLESTYRAMINE,14,"Amines, Phosphines, and Pyridines"
